Wiki link,common_name,botanical_name,status,common name worked,botanical name worked,both worked,search result url,missouribotanicalgarden url,page data
https://en.wikipedia.org/wiki/Weigela_florida,Weigela,Weigela Florida,,,,,,,
https://en.wikipedia.org/wiki/Wisteria_floribunda,Blue White Eye Wisteria,Wisteria Floribunda,,,,,,,
https://en.wikipedia.org/wiki/Wisteria_frutescens,American Wisteria,Wisteria Frutescens,,,,,,,
https://en.wikipedia.org/wiki/Woodwardia_fimbriata,Chain Fern,Woodwardia Fimbriata,,,,,,,
https://en.wikipedia.org/wiki/Xylosma_congestum,Shiny Xylosma,Xylosma Congestum,,,,,,,
https://en.wikipedia.org/wiki/Zamia_furfuracea,Cardboard Palm,Zamia Furfuracea,,,,,,,
https://en.wikipedia.org/wiki/Zantedeschia_albomaculata,Spotted Leaf Calla Lily,Zantedeschia Albomaculata,,,,,,,
https://en.wikipedia.org/wiki/Zelkova_serrata,Japanese Zelkova,Zelkova Serrata,,,,,,,
https://en.wikipedia.org/wiki/Zephyranthes_grandiflora,Pink Rain Lily,Zephyranthes Grandiflora,,,,,,,
https://en.wikipedia.org/wiki/Zingiber_zerumbet,Pinecone Ginger,Zingiber Zerumbet,,,,,,,
